 2017-10-31 17:13:24,410 [P1292/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on DESKTOP-PNDS363
 2017-10-31 17:13:24,519 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-10-31 17:13:24,571 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 52ms)
 2017-10-31 17:13:24,739 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-10-31 17:13:25,744 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1005ms)
 2017-10-31 17:13:25,759 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-10-31 17:13:25,773 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 14ms)
 2017-10-31 17:13:25,789 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-10-31 17:13:25,808 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 19ms)
 2017-10-31 17:13:25,831 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-10-31 17:13:25,845 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 14ms)
 2017-10-31 17:13:25,846 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-10-31 17:13:25,866 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 20ms)
 2017-10-31 17:13:26,174 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-10-31 17:13:26,193 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 19ms)
 2017-10-31 17:13:26,194 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-10-31 17:13:26,211 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 16ms)
 2017-10-31 17:13:28,311 [P1292/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-10-31 17:13:29,135 [P1292/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-10-31 17:13:29,180 [P1292/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-10-31 17:13:29,262 [P1292/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2017-10-31 17:13:29,316 [P1292/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-10-31 17:13:29,402 [P1292/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-10-31 17:13:29,411 [P1292/D2/T1] INFO  umbraco.content - Loading content from database...
 2017-10-31 17:13:31,143 [P1292/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-10-31 17:13:31,163 [P1292/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-10-31 17:13:31,163 [P1292/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-10-31 17:13:31,229 [P1292/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 6940ms)
 2017-10-31 17:13:32,042 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-10-31 17:13:32,086 [P1292/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 43ms)
 2017-10-31 17:13:32,255 [P1292/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-10-31 17:13:32,274 [P1292/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 19ms)
 2017-10-31 17:13:34,010 [P1292/D2/T11] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:65438/umbraco (UmbracoModule request)
 2017-10-31 17:13:34,999 [P1292/D2/T7] INFO  umbraco.content - Save Xml to file...
 2017-10-31 17:13:35,033 [P1292/D2/T7] INFO  umbraco.content - Saved Xml to file.
 2017-10-31 17:14:35,208 [P1292/D2/T17] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-10-30 17:14:35
 2017-10-31 17:17:23,610 [P1292/D2/T26] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
