 2017-10-30 17:02:32,505 [P12116/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on LAPTOP-MCPAJBI1
 2017-10-30 17:02:32,802 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-10-30 17:02:32,846 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 44ms)
 2017-10-30 17:02:33,016 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-10-30 17:02:33,033 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 17ms)
 2017-10-30 17:02:33,334 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-10-30 17:02:33,335 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-10-30 17:02:33,343 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-10-30 17:02:33,345 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2017-10-30 17:02:33,365 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-10-30 17:02:33,367 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2017-10-30 17:02:33,367 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-10-30 17:02:33,375 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 7ms)
 2017-10-30 17:02:33,614 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-10-30 17:02:33,615 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-10-30 17:02:33,616 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-10-30 17:02:33,618 [P12116/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2017-10-30 17:02:37,262 [P12116/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-10-30 17:02:38,092 [P12116/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-10-30 17:02:38,170 [P12116/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-10-30 17:02:38,375 [P12116/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-10-30 17:02:38,725 [P12116/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-10-30 17:02:38,725 [P12116/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-10-30 17:02:38,814 [P12116/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 6479ms)
 2017-10-30 17:02:39,513 [P12116/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:65438/umbraco (UmbracoModule request)
 2017-10-30 17:02:42,097 [P12116/D2/T9] INFO  umbraco.content - Load Xml from file...
 2017-10-30 17:02:42,134 [P12116/D2/T9] INFO  umbraco.content - Loaded Xml from file.
 2017-10-30 17:02:44,196 [P12116/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-10-30 17:02:44,199 [P12116/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2017-10-30 17:02:45,494 [P12116/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-10-30 17:02:45,495 [P12116/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 1ms)
 2017-10-30 17:03:20,262 [P12116/D2/T19] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-10-30 17:03:42,455 [P12116/D2/T18] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-10-29 17:03:42
